Week,Function,Area,Task,Owner,Status,Priority,Due Date,Dependency,Account / Building,Definition of Done,KPI Impact,Notes
1,Product,Core UX,"Define MVP workflow and screens for portfolios, buildings, compliance, documents",Technical Founder,Not Started,P0,2026-04-21,,Pilot portfolio,"Workflow and screen list agreed and documented","Demoable features shipped",""
1,Engineering,Infra,"Set up repo, environments, auth, database, queue, and object storage",Technical Founder,Not Started,P0,2026-04-21,,Platform,"Local and staging environments run successfully","Roadmap tasks shipped on time",""
1,Pilot Ops,Intake,"Create pilot intake checklist and customer data request list",Domain / GTM Cofounder,Not Started,P0,2026-04-21,,Pilot account,"Checklist sent and acknowledged by customer","% requested documents received",""
1,Sales,GTM,"Confirm pilot target account, stakeholders, and decision-maker map",Domain / GTM Cofounder,Not Started,P0,2026-04-21,,Pilot account,"Decision-maker map documented","Pilot progression from interest to scoped commitment",""
2,Product,Architecture,"Finalize information architecture and data model priorities",Technical Founder,Not Started,P0,2026-04-28,"Week 1 product scope",Platform,"MVP data model priorities documented","Critical path on track",""
2,Engineering,Schema,"Create schema and config tables for pathways, penalties, PECMs, and limits",Technical Founder,Not Started,P0,2026-04-28,"Week 1 infra",Platform,"Initial schema migrates and seed data loads","% roadmap tasks shipped on time",""
2,Pilot Ops,Data Collection,"Gather sample building roster and sample documents",Domain / GTM Cofounder,Not Started,P0,2026-04-28,"Week 1 intake checklist",Pilot account,"At least one real building data packet collected","% requested documents received",""
2,Sales,Discovery,"Lock pilot discovery meetings and request BAS/sensor access information",Domain / GTM Cofounder,Not Started,P0,2026-04-28,"Week 1 stakeholder map",Pilot account,"Meetings scheduled and access requests sent","Pilot stakeholder response time",""
3,Product,Import UX,"Define building overview and portfolio import UX",Technical Founder,Not Started,P0,2026-05-05,"Week 2 IA",Pilot portfolio,"Import and overview UX approved","Demoable features shipped",""
3,Engineering,Identity,"Build portfolio import and building resolver",Technical Founder,Not Started,P0,2026-05-05,"Week 2 schema",Pilot portfolio,"Imported rows create canonical building records or review flags","% buildings resolved to pathway",""
3,Pilot Ops,Validation,"Validate imported buildings against owner truth",Domain / GTM Cofounder,Not Started,P0,2026-05-05,"Week 3 import flow",Pilot portfolio,"Conflicts documented and routed for review","% pilot buildings with validated facts",""
3,Sales,Pilot Close,"Advance pilot discussion toward committed test buildings",Domain / GTM Cofounder,Not Started,P0,2026-05-05,"Week 2 discovery",Pilot account,"Shortlist of committed test buildings proposed","Pilot progression from interest to scoped commitment",""
4,Product,Conflict UX,"Define confidence, conflict, and manual review workflow",Technical Founder,Not Started,P0,2026-05-12,"Week 3 import UX",Pilot portfolio,"Conflict resolution workflow documented","Critical path on track",""
4,Engineering,Resolver,"Implement identity resolution, review states, and building overview page",Technical Founder,Not Started,P0,2026-05-12,"Week 3 building resolver",Pilot portfolio,"Review states function end-to-end","% buildings resolved to pathway",""
4,Pilot Ops,Data Cleanup,"Resolve address, BBL, and BIN mismatches with customer",Domain / GTM Cofounder,Not Started,P0,2026-05-12,"Week 3 validation",Pilot portfolio,"Mismatch list reduced to only open edge cases","% pilot buildings with validated facts",""
4,Sales,Scope,"Confirm which buildings are in compliance pilot vs monitoring pilot",Domain / GTM Cofounder,Not Started,P0,2026-05-12,"Week 3 committed test buildings",Pilot account,"Pilot scope confirmed with customer","Pilot progression from interest to scoped commitment",""
5,Product,Compliance UX,"Define compliance workspace layout for Article 320 and 321",Technical Founder,Not Started,P0,2026-05-19,"Week 4 conflict workflow",Pilot buildings,"Workspace design approved","Demoable features shipped",""
5,Engineering,Compliance Engine,"Build pathway resolver and requirement generator",Technical Founder,Not Started,P0,2026-05-19,"Week 4 canonical building graph",Pilot buildings,"Pathways and requirements generate for real buildings","% buildings resolved to pathway",""
5,Pilot Ops,Regulatory Review,"Review outputs against DOB docs and owner records",Domain / GTM Cofounder,Not Started,P0,2026-05-19,"Week 5 requirement output",Pilot buildings,"Output review completed and discrepancies logged","% buildings with usable readiness views",""
5,Sales,Positioning,"Position AirWise around compliance workflow value in pilot conversations",Domain / GTM Cofounder,Not Started,P1,2026-05-19,"Week 5 compliance UX",Pilot account,"Updated pilot narrative used in meetings","Stakeholder confidence increase",""
6,Product,Dashboard UX,"Define portfolio compliance dashboard and blocker visibility",Technical Founder,Not Started,P0,2026-05-26,"Week 5 compliance UX",Pilot portfolio,"Dashboard UX approved","Demoable features shipped",""
6,Engineering,Workspace Build,"Implement Article 320 and 321 workspaces and dashboard",Technical Founder,Not Started,P0,2026-05-26,"Week 5 requirement generator",Pilot portfolio,"Real buildings render with readiness and blockers","% buildings with blocker-free readiness view",""
6,Pilot Ops,Pathway Validation,"Validate pathway results, PECM applicability, and terminology",Domain / GTM Cofounder,Not Started,P0,2026-05-26,"Week 6 workspace build",Pilot buildings,"Pilot building pathways signed off internally","% buildings with usable readiness views",""
6,Sales,Commercials,"Convert design-partner interest into pilot scope and commercial terms",Domain / GTM Cofounder,Not Started,P0,2026-05-26,"Week 6 dashboard",Pilot account,"Pilot commercial terms drafted","Pilot progression from interest to scoped commitment",""
7,Product,Documents UX,"Define document, evidence, and audit trail UX",Technical Founder,Not Started,P0,2026-06-02,"Week 6 dashboard",Pilot portfolio,"Document workflow UX approved","Demoable features shipped",""
7,Engineering,Document Flow,"Build upload, classification state, evidence links, and audit entries",Technical Founder,Not Started,P0,2026-06-02,"Week 6 workspaces",Pilot portfolio,"Documents attach to compliance requirements","% requirements with evidence attached",""
7,Pilot Ops,Collection,"Collect and upload representative real documents",Domain / GTM Cofounder,Not Started,P0,2026-06-02,"Week 7 upload flow",Pilot buildings,"Representative docs uploaded for pilot buildings","% requested documents received",""
7,Sales,Confidence,"Use demo to support pilot close and stakeholder confidence",Domain / GTM Cofounder,Not Started,P1,2026-06-02,"Week 7 document demo",Pilot account,"Demo used in stakeholder meeting","Stakeholder confidence increase",""
8,Product,Readiness Rules,"Refine requirement and evidence states based on real documents",Technical Founder,Not Started,P0,2026-06-09,"Week 7 evidence flow",Pilot buildings,"Readiness model updated from real usage","Critical path on track",""
8,Engineering,Readiness Engine,"Implement readiness recalculation and document review states",Technical Founder,Not Started,P0,2026-06-09,"Week 7 document flow",Pilot buildings,"Building readiness updates automatically","% buildings with blocker-free readiness view",""
8,Pilot Ops,Follow-Up,"Review missing evidence and assign follow-ups",Domain / GTM Cofounder,Not Started,P0,2026-06-09,"Week 8 readiness engine",Pilot buildings,"Missing evidence tracked by owner and due date","% requirements with evidence attached",""
8,Sales,Scope Lock,"Finalize pilot SOW, success criteria, and access plan",Domain / GTM Cofounder,Not Started,P0,2026-06-09,"Week 6 commercials",Pilot account,"Pilot success criteria documented","Pilot progression from interest to scoped commitment",""
9,Product,Monitoring UX,"Define monitoring overview, issue cards, and operator task UX",Technical Founder,Not Started,P0,2026-06-16,"Week 8 readiness",Pilot building,"Monitoring UX approved","Demoable features shipped",""
9,Engineering,Telemetry,"Build telemetry ingest, time-series store, and BACnet discovery pipeline",Technical Founder,Not Started,P0,2026-06-16,"Week 8 schema stability",Pilot building,"Live or replayed telemetry ingested","Systems connected",""
9,Pilot Ops,BAS Access,"Coordinate BAS or gateway access and point list availability",Domain / GTM Cofounder,Not Started,P0,2026-06-16,"Week 8 access plan",Pilot building,"BAS access or exports obtained","Telemetry / BAS access improve",""
9,Sales,Expectation Mgmt,"Keep pilot stakeholders aligned on monitoring scope and building access",Domain / GTM Cofounder,Not Started,P1,2026-06-16,"Week 9 monitoring plan",Pilot account,"Monitoring scope alignment confirmed","Stakeholder confidence increase",""
10,Product,Point Mapping UX,"Define point mapping review workflow and system detail page",Technical Founder,Not Started,P0,2026-06-23,"Week 9 monitoring UX",Pilot building,"Mapping workflow approved","Demoable features shipped",""
10,Engineering,BAS Mapping,"Store devices and points, implement mapping admin flow, and polling",Technical Founder,Not Started,P0,2026-06-23,"Week 9 BACnet discovery",Pilot building,"Candidate points mapped to canonical types","Points normalized",""
10,Pilot Ops,System Validation,"Validate mapped systems with operator or contractor",Domain / GTM Cofounder,Not Started,P0,2026-06-23,"Week 10 point map",Pilot building,"Target systems confirmed in scope","Telemetry / BAS access improve",""
10,Sales,Pilot Narrative,"Prepare pilot narrative for monitoring value, not just compliance",Domain / GTM Cofounder,Not Started,P1,2026-06-23,"Week 10 mapped system",Pilot account,"Monitoring value story updated","Stakeholder confidence increase",""
11,Product,Recommendations UX,"Define issue detection outputs and recommendation UX",Technical Founder,Not Started,P0,2026-06-30,"Week 10 mapping",Pilot building,"Recommendation UX approved","Demoable features shipped",""
11,Engineering,Issue Rules,"Implement issue rules and recommendation generation",Technical Founder,Not Started,P0,2026-06-30,"Week 10 mapped points",Pilot building,"At least three issue types detected","Issues detected per system",""
11,Pilot Ops,Threshold Tuning,"Review issues with operator or engineer and tune thresholds",Domain / GTM Cofounder,Not Started,P0,2026-06-30,"Week 11 issue output",Pilot building,"Threshold changes documented","Recommendation acceptance rate",""
11,Sales,Proof Building,"Use live issues as proof of operational insight in customer conversations",Domain / GTM Cofounder,Not Started,P1,2026-06-30,"Week 11 recommendations",Pilot account,"Operational proof used in meeting","Stakeholder confidence increase",""
12,Product,Intervention UX,"Define before/after workflow and intervention logging UX",Technical Founder,Not Started,P0,2026-07-07,"Week 11 recommendations",Pilot building,"Intervention workflow approved","Demoable features shipped",""
12,Engineering,Measurement,"Implement intervention tracking and before/after reporting",Technical Founder,Not Started,P0,2026-07-07,"Week 11 issue rules",Pilot building,"At least one intervention measured","Time from issue to action",""
12,Pilot Ops,Operator Follow-Through,"Get operator follow-through on recommended actions",Domain / GTM Cofounder,Not Started,P0,2026-07-07,"Week 12 intervention workflow",Pilot building,"One completed operator action logged","Recommendation acceptance rate",""
12,Sales,Expansion Narrative,"Convert recommendation evidence into expansion narrative",Domain / GTM Cofounder,Not Started,P1,2026-07-07,"Week 12 measured intervention",Pilot account,"Expansion narrative documented","Pilot-to-expansion probability",""
13,Product,Command UX,"Define command request, approval UX, and safety notices",Technical Founder,Not Started,P0,2026-07-14,"Week 12 measurement",Pilot building,"Command UX approved","Demoable features shipped",""
13,Engineering,Command Workflow,"Implement whitelist model, command request flow, and approval roles",Technical Founder,Not Started,P0,2026-07-14,"Week 10 mapped points",Pilot building,"Only approved whitelisted commands can be requested","Write attempts blocked by policy",""
13,Pilot Ops,Governance,"Confirm customer-side approval chain and restricted systems",Domain / GTM Cofounder,Not Started,P0,2026-07-14,"Week 13 command workflow",Pilot building,"Approval chain and exclusions documented","Unsafe or unclear write requests",""
13,Sales,Expectation Setting,"Align customer expectations on supervised control vs automation",Domain / GTM Cofounder,Not Started,P1,2026-07-14,"Week 13 governance",Pilot account,"Customer expectations aligned in writing","Stakeholder confidence increase",""
14,Product,Audit UX,"Define rollback and command audit UX",Technical Founder,Not Started,P0,2026-07-21,"Week 13 command UX",Pilot building,"Rollback and log UX approved","Demoable features shipped",""
14,Engineering,Execution,"Implement execution, expiry, rollback, and logs",Technical Founder,Not Started,P0,2026-07-21,"Week 13 command workflow",Pilot building,"Successful supervised test command with rollback","Approved commands / successful rollbacks",""
14,Pilot Ops,Safety Validation,"Validate approved write categories with BACnet specialist",Domain / GTM Cofounder,Not Started,P0,2026-07-21,"Week 14 execution flow",Pilot building,"Write categories reviewed and signed off","Write attempts blocked by policy",""
14,Sales,Trust Milestone,"Use controlled write-back as trust-building pilot milestone",Domain / GTM Cofounder,Not Started,P1,2026-07-21,"Week 14 successful command",Pilot account,"Controlled write-back demo completed","Stakeholder confidence increase",""
15,Product,Polish,"Prioritize pilot polish, KPI summaries, and reporting outputs",Technical Founder,Not Started,P0,2026-07-28,"Week 14 command logs",Pilot portfolio,"Reporting and KPI views prioritized","Demoable features shipped",""
15,Engineering,Hardening,"Fix critical bugs, improve dashboards, and add KPI summaries",Technical Founder,Not Started,P0,2026-07-28,"Week 15 polish plan",Pilot portfolio,"Pilot review build stable","Time to resolve critical pilot bug",""
15,Pilot Ops,Feedback,"Collect pilot feedback and unresolved blockers",Domain / GTM Cofounder,Not Started,P0,2026-07-28,"Week 15 pilot usage",Pilot portfolio,"Feedback log completed","At least one building advanced materially",""
15,Sales,Review Deck,"Prepare pilot review deck and expansion path",Domain / GTM Cofounder,Not Started,P0,2026-07-28,"Week 15 KPI summaries",Pilot account,"Pilot review meeting scheduled with expansion ask","Pilot-to-expansion probability",""
16,Product,Roadmap,"Define next-phase roadmap from actual usage",Technical Founder,Not Started,P0,2026-08-04,"Week 15 feedback",Platform,"Next-phase roadmap documented","Critical path on track",""
16,Engineering,Stabilization,"Close critical bugs, stabilize exports, and package learnings",Technical Founder,Not Started,P0,2026-08-04,"Week 15 hardening",Platform,"Customer-ready package shipped","% roadmap tasks shipped on time",""
16,Pilot Ops,Retrospective,"Run pilot retrospective with customer and partners",Domain / GTM Cofounder,Not Started,P0,2026-08-04,"Week 15 review deck",Pilot account,"Retrospective completed and actions captured","Pilot progression from interest to scoped commitment",""
16,Sales,Expansion,"Push for annual contract, portfolio expansion, or next account",Domain / GTM Cofounder,Not Started,P0,2026-08-04,"Week 16 customer-ready package",Pilot account,"Expansion or next-step commercial path defined","Pilot-to-expansion probability",""
